"Rank","Name","Tm","Vote Pts","1st Place","Share","WAR","G","AB","R","H","HR","RBI","SB","BB","BA","OBP","SLG","OPS","W","L","ERA","WHIP","G.P","GS","SV","IP","H.P","HR.P","BB.P","SO","year","league","rankWAR"
13,"Orlando Cepeda","TOT",22,0,"8%",2.7,142,501,70,151,20,73,9,38,0.301,0.361,0.473,0.834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1966,"NL",24
13,"John Roseboro","LAD",22,0,"8%",3.7,142,445,47,123,9,53,3,44,0.276,0.343,0.398,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1966,"NL",19
15,"Willie Stargell","PIT",19,0,"7%",4.8,140,485,84,153,33,102,2,48,0.315,0.381,0.581,0.962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1966,"NL",17
16,"Joe Torre","ATL",18,0,"6%",6.4,148,546,83,172,36,101,0,60,0.315,0.382,0.56,0.943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1966,"NL",9
17,"Willie McCovey","SFG",12,0,"4%",5.9,150,502,85,148,36,96,2,76,0.295,0.391,0.586,0.977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1966,"NL",11
18,"Jim Lefebvre","LAD",8,0,"3%",5.2,152,544,69,149,24,74,1,48,0.274,0.333,0.46,0.793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1966,"NL",14
18,"Gaylord Perry","SFG",8,0,"3%",5.1,36,86,4,16,0,2,0,1,0.186,0.195,0.198,0.393,21,8,2.99,1.103,36,35,0,255.2,242,15,40,201,1966,"NL",15
20,"Curt Flood","STL",7,0,"2%",2.7,160,626,64,167,10,78,14,26,0.267,0.298,0.364,0.663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1966,"NL",24
21,"Maury Wills","LAD",5,0,"2%",2.3,143,594,60,162,1,39,38,34,0.273,0.314,0.308,0.622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1966,"NL",28
22,"Rusty Staub","HOU",4,0,"1%",3.6,153,554,60,155,13,81,2,58,0.28,0.345,0.412,0.756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1966,"NL",20
23,"Glenn Beckert","CHC",3,0,"1%",0.4,153,656,73,188,1,59,10,26,0.287,0.317,0.348,0.664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1966,"NL",30
23,"Jim Maloney","CIN",3,0,"1%",7.4,35,81,8,18,0,5,0,4,0.222,0.259,0.284,0.543,16,8,2.8,1.175,32,32,0,224.2,174,18,90,216,1966,"NL",8
23,"Bill Mazeroski","PIT",3,0,"1%",3,162,621,56,163,16,82,4,31,0.262,0.296,0.398,0.694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1966,"NL",23
23,"Bill White","PHI",3,0,"1%",5.3,159,577,85,159,22,103,16,68,0.276,0.352,0.451,0.803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1966,"NL",12
27,"Lou Brock","STL",2,0,"1%",3.4,156,643,94,183,15,46,74,31,0.285,0.32,0.429,0.749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1966,"NL",21
28,"Willie Davis","LAD",1,0,"0%",2.7,153,624,74,177,11,61,21,15,0.284,0.302,0.405,0.708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1966,"NL",24
28,"Bob Shaw","TOT",1,0,"0%",0.7,39,56,1,13,0,2,0,4,0.232,0.279,0.232,0.511,12,14,4.29,1.329,39,31,0,199.1,216,21,49,125,1966,"NL",29
28,"Chris Short","PHI",1,0,"0%",2.4,42,106,6,22,0,4,0,1,0.208,0.215,0.217,0.432,20,10,3.54,1.195,42,39,0,272,257,28,68,177,1966,"NL",27
1,"Orlando Cepeda","STL",280,20,"100%",6.8,151,563,91,183,25,111,11,62,0.325,0.399,0.524,0.923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,"NL",5
2,"Tim McCarver","STL",136,0,"49%",6,138,471,68,139,14,69,8,54,0.295,0.369,0.452,0.822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,"NL",7
3,"Roberto Clemente","PIT",129,0,"46%",8.9,147,585,103,209,23,110,9,41,0.357,0.4,0.554,0.954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,"NL",2
4,"Ron Santo","CHC",103,0,"37%",9.8,161,586,107,176,31,98,1,96,0.3,0.395,0.512,0.906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,"NL",1
5,"Hank Aaron","ATL",79,0,"28%",8.5,155,600,113,184,39,109,17,63,0.307,0.369,0.573,0.943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,"NL",3
6,"Mike McCormick","SFG",73,0,"26%",4.2,41,84,8,10,1,5,0,4,0.119,0.157,0.179,0.336,22,10,2.85,1.147,40,35,0,262.1,220,25,81,150,1967,"NL",20
7,"Lou Brock","STL",49,0,"18%",5.6,159,689,113,206,21,76,52,24,0.299,0.327,0.472,0.799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,"NL",10
8,"Tony Perez","CIN",43,0,"15%",3.2,156,600,78,174,26,102,0,33,0.29,0.328,0.49,0.818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,"NL",24
9,"Julian Javier","STL",41,0,"15%",2.6,140,520,68,146,14,64,6,25,0.281,0.314,0.404,0.718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,"NL",28
10,"Pete Rose","CIN",40,0,"14%",4.8,148,585,86,176,12,76,11,56,0.301,0.364,0.444,0.808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,"NL",18
11,"Jim Wynn","HOU",29,0,"10%",5.3,158,594,102,148,37,107,16,74,0.249,0.331,0.495,0.826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,"NL",12
12,"Fergie Jenkins","CHC",26,0,"9%",5.2,39,93,5,14,0,10,0,6,0.151,0.2,0.204,0.404,20,13,2.8,1.082,38,38,0,289.1,230,30,83,236,1967,"NL",15
13,"Curt Flood","STL",24,0,"9%",5.3,134,514,68,172,5,50,2,37,0.335,0.378,0.414,0.793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,"NL",12
14,"Ernie Banks","CHC",22,0,"8%",2.4,151,573,68,158,23,95,2,27,0.276,0.31,0.455,0.765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,"NL",29
15,"Nelson Briles","STL",20,0,"7%",3.6,49,40,5,6,0,0,0,3,0.15,0.209,0.15,0.359,14,5,2.43,1.152,49,14,6,155.1,139,8,40,94,1967,"NL",23
16,"Rusty Staub","HOU",12,0,"4%",5.1,149,546,71,182,10,74,0,60,0.333,0.398,0.473,0.871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,"NL",16
17,"Jim Ray Hart","SFG",10,0,"4%",5.8,158,578,98,167,29,99,1,77,0.289,0.373,0.509,0.882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,"NL",9
17,"Dick Hughes","STL",10,0,"4%",3.9,40,78,3,10,0,4,0,2,0.128,0.15,0.128,0.278,16,6,2.67,0.954,37,27,3,222.1,164,22,48,161,1967,"NL",21
19,"Dick Allen","PHI",9,0,"3%",5.3,122,463,89,142,23,77,20,75,0.307,0.404,0.566,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,"NL",12
20,"Ted Abernathy","CIN",8,0,"3%",6,70,17,0,1,0,2,0,0,0.059,0.059,0.059,0.118,6,3,1.27,0.978,70,0,28,106.1,63,1,41,88,1967,"NL",7
21,"Clete Boyer","ATL",6,0,"2%",3,154,572,63,140,26,96,6,39,0.245,0.292,0.423,0.715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,"NL",25
22,"Jim Bunning","PHI",5,0,"2%",8,40,104,8,17,2,12,0,1,0.163,0.171,0.25,0.421,17,15,2.29,1.039,40,40,0,302.1,241,18,73,253,1967,"NL",4
22,"Bob Gibson","STL",5,0,"2%",2.7,27,60,7,8,0,3,0,8,0.133,0.235,0.133,0.369,13,7,2.98,1.089,24,24,0,175.1,151,10,40,147,1967,"NL",26
22,"Randy Hundley","CHC",5,0,"2%",3.9,152,539,68,144,14,60,2,44,0.267,0.322,0.403,0.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,"NL",21
22,"Tom Seaver","NYM",5,0,"2%",6.7,36,77,5,11,0,5,2,8,0.143,0.23,0.169,0.399,16,13,2.76,1.203,35,34,0,251,224,19,78,170,1967,"NL",6
26,"Gene Alley","PIT",3,0,"1%",4.8,152,550,59,158,6,55,10,36,0.287,0.337,0.391,0.728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,"NL",18
26,"Tommy Davis","NYM",3,0,"1%",2.7,154,577,72,174,16,73,9,31,0.302,0.342,0.44,0.782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,"NL",26
26,"Tony Gonzalez","PHI",3,0,"1%",5.4,149,508,74,172,9,59,10,47,0.339,0.396,0.472,0.869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,"NL",11
29,"Willie McCovey","SFG",2,0,"1%",5,135,456,73,126,31,91,3,71,0.276,0.378,0.535,0.913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,"NL",17
1,"Bob Gibson","STL",242,14,"86%",11.9,35,94,3,16,0,6,1,7,0.17,0.233,0.223,0.456,22,9,1.12,0.853,34,34,0,304.2,198,11,62,268,1968,"NL",1
2,"Pete Rose","CIN",205,6,"73%",5.5,149,626,94,210,10,49,3,56,0.335,0.391,0.47,0.861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,"NL",13
3,"Willie McCovey","SFG",135,0,"48%",7,148,523,81,153,36,105,4,72,0.293,0.378,0.545,0.923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,"NL",2
4,"Curt Flood","STL",116,0,"41%",4.1,150,618,71,186,5,60,11,33,0.301,0.339,0.366,0.705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,"NL",18
5,"Juan Marichal","SFG",93,0,"33%",5.6,38,123,8,20,0,5,0,2,0.163,0.181,0.195,0.376,26,9,2.43,1.047,38,38,0,325.2,295,21,46,218,1968,"NL",11
6,"Lou Brock","STL",73,0,"26%",5.8,159,660,92,184,6,51,62,46,0.279,0.328,0.418,0.746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,"NL",10
7,"Mike Shannon","STL",55,0,"20%",3.6,156,576,62,153,15,79,1,37,0.266,0.309,0.401,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,"NL",19
8,"Billy Williams","CHC",48,0,"17%",4.6,163,642,91,185,30,98,4,48,0.288,0.336,0.5,0.836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,"NL",17
9,"Glenn Beckert","CHC",40,0,"14%",5.6,155,643,98,189,4,37,8,31,0.294,0.326,0.369,0.695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,"NL",11
10,"Felipe Alou","ATL",33,0,"12%",6.5,160,662,72,210,11,57,12,48,0.317,0.365,0.438,0.803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,"NL",5
11,"Matty Alou","PIT",32,0,"11%",5.3,146,558,59,185,0,52,18,27,0.332,0.362,0.396,0.758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,"NL",14
12,"Hank Aaron","ATL",19,0,"7%",6.8,160,606,84,174,29,86,28,64,0.287,0.354,0.498,0.852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,"NL",3
13,"Ernie Banks","CHC",14,0,"5%",3.5,150,552,71,136,32,83,2,27,0.246,0.287,0.469,0.756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,"NL",20
13,"Jerry Koosman","NYM",14,0,"5%",6,35,91,3,7,1,4,0,3,0.077,0.106,0.121,0.227,19,12,2.08,1.1,35,34,0,263.2,221,16,69,178,1968,"NL",8
13,"Willie Mays","SFG",14,0,"5%",6.2,148,498,84,144,23,79,12,67,0.289,0.372,0.488,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,"NL",7
16,"Johnny Bench","CIN",11,0,"4%",5,154,564,67,155,15,82,1,31,0.275,0.311,0.433,0.743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,"NL",15
17,"Phil Regan","TOT",7,0,"2%",3.2,73,21,3,3,0,1,0,0,0.143,0.182,0.19,0.372,12,5,2.27,1.069,73,0,25,134.2,119,10,25,67,1968,"NL",21
18,"Fergie Jenkins","CHC",6,0,"2%",6.6,40,100,4,16,1,10,0,6,0.16,0.208,0.23,0.438,20,15,2.63,1.039,40,40,0,308,255,26,65,260,1968,"NL",4
19,"Tony Perez","CIN",5,0,"2%",5.9,160,625,93,176,18,92,3,51,0.282,0.338,0.43,0.769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,"NL",9
20,"Nelson Briles","STL",4,0,"1%",2.1,33,80,5,11,0,5,0,4,0.138,0.186,0.163,0.349,19,11,2.81,1.256,33,33,0,243.2,251,18,55,141,1968,"NL",25
20,"Dal Maxvill","STL",4,0,"1%",2.7,151,459,51,116,1,24,0,52,0.253,0.329,0.298,0.627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,"NL",22
22,"Steve Blass","PIT",3,0,"1%",2.4,35,80,7,11,0,8,0,2,0.138,0.155,0.15,0.305,18,6,2.12,1.126,33,31,0,220.1,191,13,57,132,1968,"NL",23
22,"Tom Haller","LAD",3,0,"1%",4.8,144,474,37,135,4,53,1,46,0.285,0.345,0.388,0.733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,"NL",16
24,"Ron Santo","CHC",2,0,"1%",6.4,162,577,86,142,26,98,3,96,0.246,0.354,0.421,0.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,"NL",6
25,"Clay Carroll","TOT",1,0,"0%",2.4,68,29,2,6,0,2,0,1,0.207,0.233,0.207,0.44,7,8,2.69,1.153,68,1,17,144,128,4,38,71,1968,"NL",23
25,"Tommy Helms","CIN",1,0,"0%",1.8,127,507,35,146,2,47,5,12,0.288,0.305,0.363,0.668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,"NL",26
1,"Willie McCovey","SFG",265,11,"79%",8.1,149,491,101,157,45,126,0,121,0.32,0.453,0.656,1.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"NL",3
2,"Tom Seaver","NYM",243,11,"72%",7.2,39,91,7,11,0,6,1,7,0.121,0.2,0.154,0.354,25,7,2.21,1.039,36,35,0,273.1,202,24,82,208,1969,"NL",7
3,"Hank Aaron","ATL",188,2,"56%",8,147,547,100,164,44,97,9,87,0.3,0.396,0.607,1.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"NL",4
4,"Pete Rose","CIN",127,0,"38%",6.6,156,627,120,218,16,82,7,88,0.348,0.428,0.512,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"NL",10
5,"Ron Santo","CHC",124,0,"37%",5.5,160,575,97,166,29,123,1,96,0.289,0.384,0.485,0.869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"NL",16
6,"Tommie Agee","NYM",89,0,"26%",5.2,149,565,97,153,26,76,12,59,0.271,0.342,0.464,0.806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"NL",17
7,"Cleon Jones","NYM",82,0,"24%",7,137,483,92,164,12,75,16,64,0.34,0.422,0.482,0.904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"NL",9
8,"Roberto Clemente","PIT",51,0,"15%",7.5,138,507,87,175,19,91,4,56,0.345,0.411,0.544,0.955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"NL",6
9,"Phil Niekro","ATL",47,0,"14%",6.3,40,95,11,20,0,7,0,2,0.211,0.227,0.253,0.479,23,13,2.56,1.027,40,35,1,284.1,235,21,57,193,1969,"NL",11
10,"Tony Perez","CIN",28,0,"8%",6,160,629,103,185,37,122,4,63,0.294,0.357,0.526,0.883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"NL",15
11,"Maury Wills","TOT",17,0,"5%",3.9,151,623,80,171,4,47,40,59,0.274,0.337,0.335,0.673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"NL",26
12,"Ernie Banks","CHC",15,0,"4%",-0.7,155,565,60,143,23,106,0,42,0.253,0.309,0.416,0.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"NL",38
13,"Johnny Bench","CIN",12,0,"4%",6.1,148,532,83,156,26,90,6,49,0.293,0.353,0.487,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"NL",14
13,"Rico Carty","ATL",12,0,"4%",3.1,104,304,47,104,16,58,0,32,0.342,0.401,0.549,0.951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"NL",31
15,"Tony Gonzalez","TOT",8,0,"2%",4.4,142,502,68,135,12,58,4,46,0.269,0.338,0.386,0.724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"NL",22
15,"Wayne Granger","CIN",8,0,"2%",1.3,90,21,0,2,0,0,0,3,0.095,0.208,0.095,0.304,9,6,2.8,1.265,90,0,27,144.2,143,10,40,68,1969,"NL",37
15,"Ron Hunt","SFG",8,0,"2%",4.1,128,478,72,125,3,41,9,51,0.262,0.361,0.341,0.702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"NL",23
15,"Don Kessinger","CHC",8,0,"2%",4,158,664,109,181,4,53,11,61,0.273,0.332,0.366,0.698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"NL",25
15,"Denis Menke","HOU",8,0,"2%",2.5,154,553,72,149,10,90,2,87,0.269,0.369,0.387,0.756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"NL",34
15,"Jim Wynn","HOU",8,0,"2%",7.1,149,495,113,133,33,87,23,148,0.269,0.436,0.507,0.943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"NL",8
21,"Willie Davis","LAD",7,0,"2%",4.7,129,498,66,155,11,59,24,33,0.311,0.356,0.456,0.811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"NL",20
21,"Willie Stargell","PIT",7,0,"2%",5.2,145,522,89,160,29,92,1,61,0.307,0.382,0.556,0.938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"NL",17
23,"Matty Alou","PIT",6,0,"2%",4.6,162,698,105,231,1,48,22,42,0.331,0.369,0.411,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"NL",21
23,"Larry Dierker","HOU",6,0,"2%",8.4,39,118,7,17,1,7,0,2,0.144,0.158,0.186,0.345,20,13,2.33,1.022,39,37,0,305.1,240,18,72,232,1969,"NL",2
23,"Jerry Koosman","NYM",6,0,"2%",4.9,32,84,1,4,0,1,0,1,0.048,0.059,0.048,0.106,17,9,2.28,1.058,32,32,0,241,187,14,68,180,1969,"NL",19
23,"Juan Marichal","SFG",6,0,"2%",7.6,38,109,3,15,0,3,0,4,0.138,0.167,0.165,0.332,21,11,2.1,0.994,37,36,0,299.2,244,15,54,205,1969,"NL",5
23,"Joe Torre","STL",6,0,"2%",3,159,602,72,174,18,101,0,66,0.289,0.361,0.447,0.808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"NL",32
23,"Billy Williams","CHC",6,0,"2%",2.8,163,642,103,188,21,95,3,59,0.293,0.355,0.474,0.828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"NL",33
29,"Tom Haller","LAD",3,0,"1%",2.1,134,445,46,117,6,39,0,48,0.263,0.337,0.357,0.694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"NL",35
30,"Bobby Bonds","SFG",2,0,"1%",6.2,158,622,120,161,32,90,45,81,0.259,0.351,0.473,0.824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"NL",12
30,"Bob Gibson","STL",2,0,"1%",11.3,37,118,11,29,1,8,5,3,0.246,0.262,0.322,0.584,20,13,2.18,1.102,35,35,0,314,251,12,95,269,1969,"NL",1
30,"Randy Hundley","CHC",2,0,"1%",3.7,151,522,67,133,18,64,2,61,0.255,0.334,0.391,0.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"NL",27
30,"Lee May","CIN",2,0,"1%",3.7,158,607,85,169,38,110,5,45,0.278,0.331,0.529,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"NL",27
30,"Wes Parker","LAD",2,0,"1%",3.7,132,471,76,131,13,68,4,56,0.278,0.353,0.427,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"NL",27
30,"Ted Sizemore","LAD",2,0,"1%",4.1,159,590,69,160,4,46,5,45,0.271,0.328,0.342,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"NL",23
36,"Orlando Cepeda","ATL",1,0,"0%",3.4,154,573,74,147,22,88,12,55,0.257,0.325,0.428,0.753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"NL",30
36,"Johnny Edwards","HOU",1,0,"0%",1.6,151,496,52,115,6,50,2,53,0.232,0.306,0.333,0.639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"NL",36
36,"Rusty Staub","MON",1,0,"0%",6.2,158,549,89,166,29,79,3,110,0.302,0.426,0.526,0.952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"NL",12
1,"Johnny Bench","CIN",326,22,"97%",7.4,158,605,97,177,45,148,5,54,0.293,0.345,0.587,0.932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,"NL",2
2,"Billy Williams","CHC",218,2,"65%",6.6,161,636,137,205,42,129,7,72,0.322,0.391,0.586,0.977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,"NL",6
3,"Tony Perez","CIN",149,0,"44%",7.2,158,587,107,186,40,129,8,83,0.317,0.401,0.589,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,"NL",3
4,"Bob Gibson","STL",110,0,"33%",10.1,40,109,14,33,2,19,0,8,0.303,0.347,0.404,0.751,23,7,3.12,1.19,34,34,0,294,262,13,88,274,1970,"NL",1
5,"Wes Parker","LAD",91,0,"27%",5.2,161,614,84,196,10,111,8,79,0.319,0.392,0.458,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,"NL",14
6,"Dave Giusti","PIT",72,0,"21%",1.9,66,16,1,3,0,3,0,3,0.188,0.316,0.313,0.628,9,3,3.06,1.33,66,1,26,103,98,7,39,85,1970,"NL",27
7,"Pete Rose","CIN",54,0,"16%",4.8,159,649,120,205,15,52,12,73,0.316,0.385,0.47,0.855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,"NL",18
8,"Jim Hickman","CHC",52,0,"15%",5,149,514,102,162,32,115,0,93,0.315,0.419,0.582,1.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,"NL",16
9,"Willie McCovey","SFG",47,0,"14%",6.6,152,495,98,143,39,126,0,137,0.289,0.444,0.612,1.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,"NL",6
10,"Rico Carty","ATL",43,0,"13%",5.8,136,478,84,175,25,101,1,77,0.366,0.454,0.584,1.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,"NL",9
11,"Manny Sanguillen","PIT",36,0,"11%",4.1,128,486,63,158,7,61,2,17,0.325,0.344,0.444,0.788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,"NL",21
12,"Roberto Clemente","PIT",33,0,"10%",5.5,108,412,65,145,14,60,3,38,0.352,0.407,0.556,0.963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,"NL",11
13,"Donn Clendenon","NYM",26,0,"8%",3,121,396,65,114,22,97,4,39,0.288,0.348,0.515,0.863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,"NL",22
14,"Gaylord Perry","SFG",24,0,"7%",7.1,41,120,7,14,1,7,0,0,0.117,0.123,0.167,0.29,23,13,3.2,1.144,41,41,0,328.2,292,27,84,214,1970,"NL",4
15,"Willie Stargell","PIT",20,0,"6%",2.5,136,474,70,125,31,85,0,44,0.264,0.329,0.511,0.839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,"NL",25
16,"Bobby Tolan","CIN",17,0,"5%",5.4,152,589,112,186,16,80,57,62,0.316,0.384,0.475,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,"NL",12
17,"Hank Aaron","ATL",16,0,"5%",5,150,516,103,154,38,118,9,74,0.298,0.385,0.574,0.958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,"NL",16
18,"Joe Torre","STL",15,0,"4%",5.6,161,624,89,203,21,100,2,70,0.325,0.398,0.498,0.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,"NL",10
19,"Tommie Agee","NYM",13,0,"4%",5.4,153,636,107,182,24,75,31,55,0.286,0.344,0.469,0.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,"NL",12
20,"Bud Harrelson","NYM",10,0,"3%",2.6,157,564,72,137,1,42,23,95,0.243,0.351,0.309,0.659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,"NL",24
21,"Fergie Jenkins","CHC",8,0,"2%",6.8,40,113,4,14,3,11,0,1,0.124,0.129,0.221,0.351,22,16,3.39,1.038,40,39,0,313,265,30,60,274,1970,"NL",5
21,"Jim Merritt","CIN",8,0,"2%",2.2,35,83,7,14,3,6,0,4,0.169,0.207,0.277,0.484,20,12,4.08,1.286,35,35,0,234,248,21,53,136,1970,"NL",26
23,"Don Kessinger","CHC",6,0,"2%",1.2,154,631,100,168,1,39,12,66,0.266,0.337,0.349,0.685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,"NL",30
24,"Cito Gaston","SDP",5,0,"1%",5.1,146,584,92,186,29,93,4,41,0.318,0.364,0.543,0.907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,"NL",15
25,"Deron Johnson","PHI",4,0,"1%",1.4,159,574,66,147,27,93,0,72,0.256,0.338,0.456,0.794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,"NL",29
